ID_R,Author,Year,TypeReport,ImpactFactor,Theory_A,Theory_B,Theory_C,Hypotheses,Definition,ID_S,ID_RS,Preregistration,TypeStudy,Country,StudyYear,SampleSize,GeneralPop,StudentPop,SampleExact,NR-AT,RR,AgeMean,AgeSD,AgeRange,FemaleP,LiberalP,LiberalMean,LiberalSD,LiberalRange,Liberal,LiberalCat,WhiteP,MuslimP,EthCat,ID_IV,IV_Exact,IV_Code,IV_Quality,Attack,ExactAttack,Type,Distance,Casualties,CasualtiesCat,DomesticTerror,Control_Condition,IV_2,ID_DV,DV_Exact,DV_Time,Time_Cat,DV_Code,Alpha,DV_Quality,OA_Category,OA_Target_A,OA_Similarity,PA_Category,Name,Incumbent,Republican,Gender,ID_ES,PlaceInformation,Test,estimate,sd,n,m_c,sd_c,n_c,m_t,sd_t,n_t,corT1T2,Direction,Regression,Correlation,Variance,SE,Fisher,Variance_F,SE_F,ESS,Power,ID_ES_Unique
10032,Canetti et al.,2018,1,1.418,Threat & Stress,Psychological distress,Threat perceptions,1,0,1,100321,0,4,Israel + NI,NA,420,0,0,"Israeli Jews, Palestinians, and Protestants and Catholics in Northern
Ireland",1,53,44.75,14.99,NA,48.625,NA,NA,NA,NA,NA,4,NA,NA,3,1,Exposure to political violence,6,0,1,NA,6,2,NA,2,1,NA,NA,1,Conciliatory attitudes,0,NA,1,NA,1,NA,NA,NA,8,NA,NA,NA,NA,1,Table 2 on p. 667,"m, sd",NA,NA,NA,0.54,;28,117,0.49,0.3,242,NA,1,0,0.084325,0.002339,0.048363,0.084526,0.002398,0.048969,420,0.408315191315917,212
10033,Canetti et al.,2019,1,1.39,Stress-based model,Physiological reactivity,Threat perceptions,1,0,1,100331,0,2,Israel,2010,83,1,0,Israeli adults,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,2,1,Perception of threat,10,1,0,Israeli-Palestinian conflict,1,0,NA,-99,-99,NA,Exposed,1,Militant attitudes,0,NA,1,0.75,3,NA,NA,NA,8,NA,NA,NA,NA,1,Table 1 on p. 7,r,0.23,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,0,0.23,0.010939,0.10459,0.234189,0.0125,0.111803,83,0.557902998708284,213
10034,"Canetti, Ariely, & Halperin",2008,1,0.486,ITT,Realistic group conflict theory,SIT,2,0,1,100341,0,3,Israel,2005,504,1,0,Jewish-Israeli,1,42,45,16.9,18-78,53,26,NA,NA,NA,NA,3,NA,NA,2,1,Security threat NJIs,10,0,0,NA,0,0,NA,-99,1,NA,NA,1,Exclusionist political attitudes towards NJIs,0,NA,3,0.91,3,4,2,2,10,NA,NA,NA,NA,1,Table 2 on p. 96,r,0.51,NA,504,NA,NA,NA,NA,NA,NA,NA,NA,0,0.51,0.001088,0.032985,0.56273,0.001996,0.044677,504,1,215
10035,Carnagey & Anderson,2007,1,1.012,Attitude Representations Theory,GAM (General Aggression Model),NA,1,0,1,100351,0,2,US,2000,2703,0,1,University students,0,NA,19.5,NA,NA,57.386990077177515,NA,NA,NA,NA,NA,4,NA,NA,4,1,Terrorist attack,1,0,1,9/11 Attacks,1,2,2996,2,0,NA,NA,1,Revised Attitudes toward Violence Scale: WAR,330,4,1,0.79,3,NA,NA,NA,8,NA,NA,NA,NA,1,Table 1 on p. 123,d,0.37,NA,NA,NA,NA,780,NA,NA,1034,NA,NA,0,0.18018,5.08e-4,0.022539,0.182168,5.52e-4,0.023495,1814,0.999999996572094,219
10036,"Carriere, Hendricks, & Moghaddam",2019,1,0.933,ITT,Political sophistication,NA,1,0,1,100361,0,3,US,2008,2019,1,0,American adults,0,NA,49.1,17.2,NA,53.2,NA,NA,NA,NA,NA,3,62.3,NA,3,1,Terrorist threat,10,0,0,NA,0,0,NA,-99,-99,NA,NA,2,Support for torture,0,NA,1,NA,1,NA,NA,NA,9,NA,NA,NA,NA,1,Mail correspondence,r,0.08,NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,0,0.08,4.89e-4,0.022113,0.080171,4.96e-4,0.022271,2019,0.949553702164892,223
10036,"Carriere, Hendricks, & Moghaddam",2019,1,0.933,ITT,Political sophistication,NA,1,0,2,100362,0,3,US,2012,4508,1,0,American adults,0,NA,49.1,17.2,NA,53.2,NA,NA,NA,NA,NA,3,62.3,NA,3,1,Terrorist threat,10,0,0,NA,0,0,NA,-99,-99,NA,NA,1,Support for wiretapping,0,NA,1,NA,1,NA,NA,NA,9,NA,NA,NA,NA,5,Mail correspondence,r,0.1,NA,4508,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,2.17e-4,0.014731,0.100335,2.22e-4,0.0149,4508,0.999999102303328,227
10036,"Carriere, Hendricks, & Moghaddam",2019,1,0.933,ITT,Political sophistication,NA,1,0,3,100363,0,3,US,2016,3606,1,0,American adults,0,NA,49.1,17.2,NA,53.2,NA,NA,NA,NA,NA,3,62.3,NA,3,1,Terrorist threat,10,0,0,NA,0,0,NA,-99,-99,NA,NA,2,Support for torture,0,NA,1,NA,1,NA,NA,NA,9,NA,NA,NA,NA,10,Mail correspondence,r,0.133,NA,3606,NA,NA,NA,NA,NA,NA,NA,NA,0,0.133,2.68e-4,0.016371,0.133793,2.78e-4,0.016673,3606,0.999999999368396,232
10037,Castanho Silva,2018,1,2.498,SJT,TMT,NA,1,0,1,100371,0,2,France,2015,697,1,0,French population,1,NA,44.98,19.36,15-114,0.525,NA,5.13,2.26,0-10,NA,3,NA,NA,3,1,Terrorist attack,1,1,1,Charlie Hebdo attacks,1,2,12,1,0,NA,NA,1,Political ideology (conservatism),0,NA,1,NA,1,NA,NA,NA,7,NA,NA,NA,NA,1,Table 1 on p. 3,"m, sd",NA,NA,NA,5.07,2.38,430,5.19,2.14,267,NA,NA,0,0.025454,0.001432,0.037842,0.025459,0.001441,0.037961,697,0.102955383408398,236
10037,Castanho Silva,2018,1,2.498,SJT,TMT,NA,1,0,2,100372,0,2,France,2015,1025,1,0,French population,1,NA,47.67,19.6,15-99,0.52,NA,NA,NA,NA,NA,3,NA,NA,3,1,Terrorist attack,1,1,1,November 2015 Paris attacks,1,2,130,2,0,NA,NA,1,Immigration attitudes,0,NA,3,NA,1,4,2,1,10,NA,NA,NA,NA,3,Table 5 on p. 8,"m, sd",NA,NA,NA,2.74,0.95,928,2.55,1,97,NA,NA,0,-0.058149,9.67e-4,0.031097,-0.058214,9.78e-4,0.031273,1025,0.460976399592205,238
10038,Celebi et al.,2014,1,1.216,Conflict frames,Responsibility Attribution,NA,2,0,1,100381,0,3,Turkey,2012,288,0,1,University students (Kurdish),0,NA,21.17,1.88,18-27,54,NA,3.75,2.01,0-10,0.3409090909090909,1,NA,NA,1,1,Terrorism frame,16,0,1,Conflict between Turkey and PKK,6,2,NA,2,1,NA,Kurds,1,Outgroup trust,0,NA,2,0.78,3,2,1,1,99,NA,NA,NA,NA,1,Table 2 on p. 69,r,0.24,NA,288,NA,NA,NA,NA,NA,NA,NA,1,0,-0.24,0.003094,0.055624,-0.244774,0.003509,0.059237,288,0.985329756120066,242
10039,Cheung-Blunden,2020,1,1.537,Ethnocentrism; ITT,NA,NA,2,0,1,100391,0,3,US,2016,220,2,0,MTurkers,0,NA,40.5,12.8,NA,48.2,36.8,NA,NA,NA,NA,3,52.7,NA,3,1,Terroristic risk,10,1,0,NA,1,0,NA,-99,-99,NA,NA,1,Anti-immigrant sentiment,0,NA,2,0.9,3,2,2,0,99,NA,NA,NA,NA,1,Table 1 on p. 342,r,0.18,NA,220,NA,NA,NA,NA,NA,NA,NA,NA,0,0.18,0.004275,0.065383,0.181983,0.004608,0.067882,220,0.766155731394141,246
10039,Cheung-Blunden,2020,1,1.537,Ethnocentrism; ITT,NA,NA,2,0,2,100392,0,3,Germany,2016,230,2,0,Clickworkers,0,NA,37.3,12.1,NA,45.5,NA,NA,NA,NA,NA,4,85.3,NA,2,1,Terroristic risk,10,1,0,NA,1,0,NA,-99,-99,NA,NA,1,Anti-immigrant sentiment,0,NA,2,0.87,3,2,2,0,99,NA,NA,NA,NA,7,Table 1 on p. 342,r,0.21,NA,230,NA,NA,NA,NA,NA,NA,NA,NA,0,0.21,0.00399,0.063166,0.213171,0.004405,0.06637,230,0.895822094822525,252
10039,Cheung-Blunden,2020,1,1.537,Ethnocentrism; ITT,NA,NA,2,0,3,100393,1,3,UK,2018,151,2,0,Professional Service at Qualtrics,0,NA,46.9,16.1,NA,72.2,NA,NA,NA,NA,NA,3,74.8,NA,2,1,Terroristic risk,10,1,0,NA,1,0,NA,-99,-99,NA,NA,1,Anti-immigrant sentiment,0,NA,2,0.93,3,2,2,0,99,NA,NA,NA,NA,13,Table 2 on p. 345,r,0.1,NA,151,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0.006534,0.080833,0.100335,0.006757,0.082201,151,0.23153228948596,258
10039,Cheung-Blunden,2020,1,1.537,Ethnocentrism; ITT,NA,NA,2,0,4,100394,1,3,Spain,2018,183,2,0,Professional Service at Qualtrics,0,NA,42.8,11.4,NA,58.5,NA,NA,NA,NA,NA,4,85.8,NA,2,1,Terroristic risk,10,1,0,NA,1,0,NA,-99,-99,NA,NA,1,Anti-immigrant sentiment,0,NA,2,0.87,3,2,2,0,99,NA,NA,NA,NA,20,Table 2 on p. 345,r,-0.01,NA,183,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.01,0.005493,0.074115,-0.01,0.005556,0.074539,183,0.0519863967856412,265
10040,Cheung-Blunden & Blunden,2008,1,1.24,Appraisal theory,Functionalist Emotion Approach,Group Emotions,1,0,1,100401,0,3,US,2002,588,0,1,University students,0,NA,23.91,6.22,NA,68.2,82.9,NA,NA,NA,NA,1,11.6,1.7,3,1,Anger after seeing 9/11 picture,12,0,1,9/11 Attacks,1,2,2996,2,0,NA,NA,1,Support for war,0,NA,1,NA,1,NA,NA,NA,8,NA,NA,NA,NA,1,Table 1 on p. 182,r,0.45,NA,588,NA,NA,NA,NA,NA,NA,NA,NA,0,0.45,0.001083,0.032909,0.4847,0.001709,0.04134,588,1,272
10041,Choma et al.,2015,1,0.79,Temporal approach to emotions,NA,NA,1,0,1,100411,0,1,UK,2011,174,0,1,University students,0,NA,24.92,11.74,NA,75.3,NA,NA,NA,NA,NA,4,94.8,NA,2,1,Video of 9/11,1,1,1,9/11 Attacks,1,1,2996,2,0,NA,NA,1,Islamophobia,0,NA,2,0.93,3,1,3,2,99,NA,NA,NA,NA,1,Text on p. 350,t-test,1.68,NA,NA,NA,NA,116,NA,NA,58,NA,NA,0,0.127061,0.005595,0.0748,0.127751,0.005848,0.076472,174,0.387814543555776,278
10042,Choma et al.,2018,1,1.967,Temporal Distance,Dual Process Model,Emotions,1,0,1,100421,0,3,Canada,2014,215,0,1,University students,0,NA,20.58,4.6,NA,81.9,NA,NA,NA,NA,NA,4,49.8,NA,3,1,Days after shooting: continuous,1,0,1,10/14 Canada Shooting,1,2,2,0,0,NA,NA,1,RWA,0,NA,1,0.85,3,NA,NA,NA,5,NA,NA,NA,NA,1,Table 1 on p. 68,r,-0.07,NA,214,NA,NA,NA,NA,NA,NA,NA,1,0,0.07,0.004627,0.068022,0.070115,0.004717,0.06868,215,0.175716367682202,280
10042,Choma et al.,2018,1,1.967,Temporal Distance,Dual Process Model,Emotions,1,0,2,100422,0,3,Canada,2014,468,0,1,University students,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,2,Days after shooting: dichotomous,1,0,1,10/14 Canada Shooting,1,2,2,0,0,NA,NA,1,RWA,0,NA,1,0.81,3,NA,NA,NA,5,NA,NA,NA,NA,6,Table 3 on p. 70,r,0.01,NA,468,NA,NA,NA,NA,NA,NA,NA,1,0,-0.01,0.002141,0.046271,-0.01,0.002151,0.046379,468,0.0553190030156096,285
10043,Cohrs et al.,2005,1,0,Correlates of RWA and SDO,NA,NA,2,0,1,100431,0,3,Germany,2002,275,0,0,German individuals (59% students),0,NA,30.72,10.11,16-73,52.36,NA,3.97,1.43,1-10,0.397,1,NA,NA,4,1,Threat from terrorism,9,1,0,NA,0,0,NA,-99,-99,NA,NA,1,RWA,0,NA,1,0.78,3,NA,NA,NA,5,NA,NA,NA,NA,1,Table 1,r,0.16,NA,275,NA,NA,NA,NA,NA,NA,NA,NA,0,0.16,0.003465,0.058864,0.161387,0.003676,0.06063,275,0.759911036425718,293
10044,Cohrs et al.,2005,1,0,NA,NA,NA,2,0,1,100441,0,3,Germany,2003,540,0,0,"German individuals (47,2% students)",0,NA,31.96,10.44,15-75,46.7,NA,NA,NA,NA,NA,1,NA,NA,4,1,Threat from terrorism,9,1,0,NA,0,0,NA,-99,-99,NA,NA,1,General militaristic attitudes,0,NA,1,0.87,3,NA,NA,NA,8,NA,NA,NA,NA,1,Mail correspondence,r,0.117,NA,547,NA,NA,NA,NA,NA,NA,NA,NA,0,0.117,0.001782,0.042214,0.117538,0.001838,0.042872,547,0.783400452907342,298
10045,"Cohu, Maisonneuve, & Testé",2016,1,0,TMT,Uncertainty-Identity Theory,NA,1,0,1,100451,0,2,France,2015,162,0,0,Acquaintances of researchers,0,NA,37.63,14.32,NA,59.88,NA,NA,NA,NA,NA,4,NA,NA,4,1,Terrorist attack,1,1,1,Charlie Hebdo attacks,1,2,12,1,0,NA,NA,1,Prejudice towards immigrants,14,2,2,0.91,3,2,2,1,99,NA,NA,NA,NA,1,Table 2 on p. 53,"m, sd",NA,NA,NA,3.49,1.26,65,4.32,1.12,56,NA,NA,0,0.32668,0.006243,0.079013,0.339108,0.008475,0.09206,121,0.958836363309054,301
10046,Conejero & Etxebarria,2007,1,1.136,Emotions,NA,NA,2,0,1,100461,0,3,Spain,2004,1409,0,1,University students,0,NA,27.6,11.73,NA,69.9,NA,NA,NA,NA,NA,4,NA,NA,4,1,Negative emotional response,13,0,1,11/03 Madrid,1,2,193,2,0,NA,NA,1,National idenitification,60,3,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,Text on p. 279,r,0.34,NA,1346,NA,NA,NA,NA,NA,NA,NA,NA,0,0.34,5.82e-4,0.024125,0.354093,7.45e-4,0.027295,1346,1,307
10047,Conrad et al.,2018,1,1.877,NA,NA,NA,1,0,1,100471,0,1,US,2012,596,1,0,Nationally representative survey,1,NA,55.52,15,18-87,51.68,NA,-0.1341,NA,-3-3,NA,2,82.05,NA,2,1,Terror frame,5,1,0,NA,0,0,NA,-99,-99,NA,NA,1,Support for torture,0,NA,1,NA,2,NA,NA,NA,9,NA,NA,NA,NA,1,Text on p. 1003,t-test,-3.47,NA,596,NA,NA,NA,NA,NA,NA,NA,NA,0,0.140954,0.001615,0.040187,0.141899,0.001686,0.041061,596,0.932953048809595,310
10048,"Coryn, Baele, & Myers",2004,1,0,Anxiety,Patriotism,SIT,1,0,1,100481,0,3,US,2001,301,0,1,Undergraduate students,0,NA,NA,NA,NA,57.615894039735096,NA,NA,NA,NA,NA,4,NA,NA,4,1,Anxiety,11,1,1,9/11 Attacks,1,2,2996,2,0,NA,NA,1,Blatant prejudice,0,NA,2,0.9,3,2,3,2,99,NA,NA,NA,NA,1,Table 8 in Appendix D,r,0.428,NA,301,NA,NA,NA,NA,NA,NA,NA,NA,0,0.428,0.002224,0.047159,0.457446,0.003356,0.057931,301,0.999999998648016,311
10049,Crowson,2009,1,0,Authoritarianism & Threat,NA,NA,1,0,1,100491,0,3,US,2007,176,0,0,Adults from the community,0,NA,37.13,14.09,18-79,50,NA,NA,NA,NA,NA,4,72,NA,3,1,Symbolic threat from terrorism,10,1,0,NA,1,0,NA,-99,-99,NA,NA,1,RWA,0,NA,1,0.94,3,NA,NA,NA,5,NA,NA,NA,NA,1,Text on p. 114,r,0.557,NA,176,NA,NA,NA,NA,NA,NA,NA,NA,0,0.557,0.002719,0.052144,0.628473,0.00578,0.076026,176,0.999999999874579,314
10050,"Crowson, DeBacker, & Thoma",2005,1,1.324,RWA,SDO,NA,1,0,1,100501,0,3,US,2003,136,0,1,University students,0,NA,25.59,8.3,20-56,80.15,NA,NA,NA,NA,NA,4,76,NA,2,1,Threat perceptions index,9,1,0,NA,0,0,NA,-99,-99,NA,NA,1,RWA,0,NA,1,0.96,3,NA,NA,NA,5,NA,NA,NA,NA,1,Table 2 on p. 1279,r,0.21,NA,136,NA,NA,NA,NA,NA,NA,NA,NA,0,0.21,0.006768,0.082268,0.213171,0.007519,0.086712,136,0.693721321730502,320
10051,Da Costa Silva et al.,2019,1,1.375,Dehumanization; SIT,NA,NA,1,0,1,100511,0,1,Spain,2016,215,2,0,Members of the general population,0,NA,36.97,13.4,NA,53.95,NA,NA,NA,NA,NA,4,NA,NA,4,1,ISIS Terrorist threat manipulation,4,1,1,11/03 Madrid,1,2,193,2,0,NA,NA,1,Support for retributive justice,0,NA,1,0.872,3,NA,NA,NA,9,NA,NA,NA,NA,1,Text on p. 619,t-test,2.49,NA,196,NA,NA,NA,NA,NA,NA,NA,NA,0,0.175982,0.004815,0.06939,0.177833,0.005181,0.071979,196,0.697127751173943,326
10051,Da Costa Silva et al.,2019,1,1.375,Dehumanization; SIT,NA,NA,1,0,2,100512,0,1,Spain,2016,304,2,0,Members of the general population,0,NA,36.19,14.6,NA,50.98,NA,NA,NA,NA,NA,4,NA,NA,4,1,Threat manipulation,4,1,1,11/03 Madrid,1,2,193,2,0,NA,NA,1,Support for retributive justice,0,NA,1,0.872,3,NA,NA,NA,9,NA,NA,NA,NA,2,Text on p. 622,t-test,2.06,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,0,0.118492,0.003251,0.057018,0.119051,0.003367,0.058026,300,0.53774767078545,327
10052,Das et al.,2009,1,2.5,TMT,NA,NA,1,0,1,100521,0,1,Netherlands,2004,100,0,0,Convenience sample,0,NA,35,10,NA,60,NA,NA,NA,NA,NA,4,NA,0,2,1,Terrorism news clip,2,1,1,3 terrorist attacks,1,1,NA,2,0,0,Before murder Theo Van Gogh,1,Prejudice against Arabs,0,0,2,0.92,3,2,3,2,99,NA,NA,NA,NA,1,Mail correspondence,"m, sd",NA,NA,NA,5.13,1.46,16,4.92,1.77,28,NA,NA,0,-0.060528,0.02252,0.150067,-0.060602,0.02439,0.156173,44,0.0674002903100892,328
10052,Das et al.,2009,1,2.5,TMT,NA,NA,1,0,2,100522,0,1,Netherlands,2004,101,0,0,Convenience sample,0,NA,29,11,NA,61.386138613861384,NA,NA,NA,NA,NA,4,NA,0,2,1,Terrorism news article,2,1,0,NA,1,2,NA,0,0,NA,NA,1,Prejudice against Arabs,0,NA,2,NA,3,2,3,2,99,NA,NA,NA,NA,5,Text on p. 456,beta,0.26,NA,96,NA,NA,NA,NA,NA,NA,NA,NA,0,0.26,0.009151,0.095661,0.266108,0.010753,0.103697,96,0.731738068153355,332
10052,Das et al.,2009,1,2.5,TMT,NA,NA,1,0,3,100523,0,1,Netherlands,2004,179,0,0,Convenience sample,0,NA,28,11.53,NA,54.7486033519553,NA,NA,NA,NA,NA,4,NA,100,1,1,Terrorism news article,2,1,0,NA,1,2,NA,0,0,NA,NA,1,Prejudice against Europeans,0,NA,2,NA,3,2,3,0,99,NA,NA,NA,NA,3,Mail correspondence,"m, sd",NA,NA,NA,-0.12,0.85,28,-0.43,0.65,35,NA,NA,0,0.202437,0.0143,0.119583,0.205272,0.016667,0.129101,63,0.359816511183775,330
10053,"Davies, Steele, & Markus",2008,1,4.505,Perceived threat,SIT,NA,1,0,1,100531,0,1,US,NA,130,0,0,California inhabitants,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,43.07692307692308,NA,3,1,News article,2,1,1,9/11 Attacks,1,2,2996,2,0,NA,NA,1,National identity,0,NA,1,0.91,3,NA,NA,NA,1,NA,NA,NA,NA,1,Text on p. 314,f,7.06,NA,NA,NA,NA,60,NA,NA,60,NA,NA,0,0.23572100000000001,0.007226,0.085006,0.240238,0.008547,0.09245,120,0.741570703032483,333
10054,Davis,2007,2,0,Political tolerance,Political trust,NA,1,0,1,100541,0,3,US,2001,1448,1,0,US adults,1,52.4,45.24,NA,NA,56.534296028880874,43.7962202136401,3.26,NA,NA,0.4657142857142857,3,64.94082840236686,NA,3,1,Sociotropic threat,10,0,1,9/11 Attacks,1,2,2996,2,0,NA,NA,1,Civil liberties responses,0,NA,1,0.66,2,NA,NA,NA,9,NA,NA,NA,NA,1,Table 3.5 on p 56,r,0.22,NA,1379,NA,NA,NA,NA,NA,NA,NA,NA,0,0.22,6.57e-4,0.025632,0.223656,7.27e-4,0.026963,1379,0.999999999884597,334
10055,Dawson,2011,3,0,NA,NA,NA,1,0,1,100551,0,1,US,2011,279,0,1,University students,0,NA,NA,NA,18-30,48,NA,NA,NA,NA,NA,4,NA,NA,4,1,Video of 9/11,2,1,1,9/11 Attacks,1,2,2996,2,0,NA,NA,1,Fear of Muslims,0,NA,2,NA,2,1,3,2,99,NA,NA,NA,NA,1,Table 1 on p. 29,"m, sd",NA,NA,NA,2.098,1.3133600000000001,68,2.1146,1.28129,96,NA,NA,0,0.006317,0.006097,0.078083,0.006317,0.006211,0.07881,164,0.0506424981684474,336
10056,De Coninck et al.,2018,1,0,Media framing,NA,NA,0,0,1,100561,0,3,Belgium,2017,1500,1,0,Nationally representative survey,0,NA,42.9,NA,18-65,49.7,NA,NA,NA,NA,NA,3,NA,NA,3,1,Fear of terrorism,9,0,0,NA,0,0,NA,-99,-99,NA,NA,1,Attitudes towards immigrants,0,NA,3,NA,2,4,2,1,10,NA,NA,NA,NA,1,Table 2 on p. 414,r,-0.27,NA,1500,NA,NA,NA,NA,NA,NA,NA,1,0,0.27,5.73e-4,0.023937,0.276864,6.68e-4,0.025846,1500,1,342
10057,Dinesen & Jæger,2013,1,1.418,Rally-around-the-flag,NA,NA,1,0,1,100571,0,4,Spain,2004,NA,1,0,Spanish adults,0,NA,43.825,NA,NA,51.5,NA,NA,NA,NA,NA,3,NA,NA,3,1,Terrorist attack,1,0,1,11/03 Madrid,1,2,193,2,0,NA,NA,1,Trust in government,7,NA,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,1,Table 1 on p. 920,proportions,NA,NA,NA,0.43,NA,928,0.58,NA,72,NA,NA,0,0.085848,0.00122,0.034928,0.08606,0.001003,0.03167,1000,0.775961798630506,344
10058,Doosje et al.,2009,1,0,NA,NA,NA,1,0,1,100581,0,3,EU,2006,1409,1,0,Nationally representative survey,0,NA,46.25,17.45,16-91,55,NA,5.28,2.01,1-4,NA,3,NA,0,2,1,Perceived terrorist threat,11,0,0,NA,1,0,NA,-99,-99,NA,NA,1,Subtle prejudice,0,NA,2,0.63,2,2,3,2,99,NA,NA,NA,NA,1,Table 1 on p. 213,r,0.13,NA,690,NA,NA,NA,NA,NA,NA,NA,NA,0,0.13,0.001403,0.037457,0.13074,0.001456,0.038158,690,0.929095946711336,363
10059,"Doosje, van der Veen, & Klaver",2018,1,0.278,NA,NA,NA,1,0,1,100591,0,2,Belgium,2005,NA,1,0,ESS participants,0,NA,46.3,18.7,14-102,NA,NA,NA,NA,NA,NA,3,NA,NA,3,1,Terrorist attack,1,0,1,NA,6,2,0,0,-99,NA,NA,1,Political trust,30,NA,1,0.9,3,NA,NA,NA,2,NA,NA,NA,NA,1,Table 3 on p. 12,"m, sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.016847,2.76e-4,0.016613,-0.016848,2.76e-4,0.016613,3627,0.173648557712777,370
10060,Dvir-Gvirsman et al.,2016,1,1.508,Media as reinforcing spirals,Priming effects,NA,1,0,1,100601,0,4,Israel,2010,600,0,1,Children,1,90,11,NA,NA,51,NA,NA,NA,NA,NA,4,NA,NA,1,1,Media exposure (T1+2),8,1,1,Israeli-Palestinian conflict,5,2,NA,2,1,NA,Palestinians,1,Aggression towards outgroup,365,4,2,0.95,3,3,3,2,99,NA,NA,NA,NA,1,Mail correspondence,r,-0.158,NA,569,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.158,0.001674,0.040915,-0.159335,0.001767,0.042036,569,0.966658110955481,422
10061,Eadeh et al.,2020,4,0,Anger-Affordance framework,NA,NA,1,0,1,100611,0,1,US,NA,565,2,0,MTurkers,0,NA,NA,NA,NA,63.36283185840708,NA,NA,NA,NA,NA,4,NA,NA,4,1,Terrorism threat,4,1,0,ISIS Attacks,1,0,NA,-99,0,NA,NA,1,Support for hawkish politician,0,NA,1,0.97,3,NA,NA,NA,8,NA,NA,NA,NA,1,Text,f,8.04,NA,282,NA,NA,NA,NA,NA,NA,NA,NA,0,0.165923,0.003284,0.057306,0.167471,0.003559,0.059657,284,0.802837795877101,434
10061,Eadeh et al.,2020,4,0,Anger-Affordance framework,NA,NA,1,0,2,100612,0,1,US,NA,222,2,0,MTurkers,0,NA,NA,NA,NA,58.108108108108105,NA,NA,NA,NA,NA,4,NA,NA,4,1,Terrorism threat,4,1,0,ISIS Attacks,1,0,NA,-99,0,NA,NA,1,Support for hawkish politician,0,NA,1,0.85,3,NA,NA,NA,8,NA,NA,NA,NA,3,Text,f,3.9,NA,222,NA,NA,NA,NA,NA,NA,NA,NA,0,0.131979,0.00435,0.065955,0.132754,0.004608,0.067882,220,0.499817499930963,436
10061,Eadeh et al.,2020,4,0,Anger-Affordance framework,NA,NA,1,0,3,100613,1,1,US,NA,264,2,0,MTurkers,0,NA,NA,NA,NA,59.09090909090909,NA,NA,NA,NA,NA,4,NA,NA,4,1,Terrorism threat,4,1,0,ISIS Attacks,1,0,NA,-99,0,NA,NA,1,Support for hawkish politician,0,NA,1,0.85,3,NA,NA,NA,8,NA,NA,NA,NA,4,Text,"m, sd",NA,NA,NA,3.95,1.51,88,4.15,1.36,88,NA,NA,0,0.069424,0.005614,0.074927,0.069535,0.00578,0.076026,176,0.15035250317222,437
10061,Eadeh et al.,2020,4,0,Anger-Affordance framework,NA,NA,1,0,4,100614,1,1,US,NA,312,2,0,MTurkers,0,NA,NA,NA,NA,59.294871794871796,NA,NA,NA,NA,NA,4,NA,NA,4,1,Anger manipulation,12,1,0,NA,0,0,NA,-99,-99,NA,NA,1,Support for hawkish policies,0,NA,1,0.91,3,NA,NA,NA,8,NA,NA,NA,NA,5,Text,"m, sd",NA,NA,NA,4.22,1.27,104,4.11,1.21,104,NA,NA,0,-0.042928,0.004786,0.069181,-0.042954,0.004878,0.069843,208,0.0944354491198584,438
10061,Eadeh et al.,2020,4,0,Anger-Affordance framework,NA,NA,1,0,5,100615,1,1,US,NA,274,2,0,MTurkers,0,NA,NA,NA,NA,60.21897810218978,NA,NA,NA,NA,NA,4,NA,NA,4,1,Anger manipulation,12,1,0,NA,0,0,NA,-99,-99,NA,NA,1,Support for hawkish policies,0,NA,1,0.9,3,NA,NA,NA,8,NA,NA,NA,NA,14,Text,"m, sd",NA,NA,NA,4.07,1.42,91.33333333333333,4.68,1.6,91,NA,NA,0,0.197651,0.004974,0.070527,0.200287,0.005587,0.074746,182,0.766157268908525,447
10062,"Eadeh, Godefroidt, & Trojan",2020,5,0,NA,NA,NA,1,0,1,100621,1,1,US,2020,207,2,0,MTurkers,0,NA,33.1449,9.829531,18-64,58.454106,44.9,3.768116,1.716382,1-7,0.5385714285714286,3,63.3,1.4,3,1,Terrorist attack,2,1,0,NA,6,0,12,1,1,NA,NA,1,RWA,0,NA,1,0.691044,3,NA,NA,NA,5,NA,NA,NA,NA,1,Own calculations,"m, sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.029489,0.00482,0.069426,-0.029497,0.004902,0.070014,207,0.0705754769005699,449
